wb_region_code,country_code,pcn_region_code,country_name,year,surveyid_year,reporting_year,survey_year,survey_acronym,survey_coverage,welfare_type,use_imputed,use_microdata,use_bin,use_groupdata,survey_comparability,survey_time,surv_title,surv_producer
EAP,CHN,EAP,China,2012,2012,2012,2012,CNIHS,national,consumption,0,0,0,1,1,2012,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2013,2013,2013,2013,CNIHS,national,consumption,0,0,0,1,2,2013,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2014,2014,2014,2014,CNIHS,national,consumption,0,0,0,1,2,2014,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2015,2015,2015,2015,CNIHS,national,consumption,0,0,0,1,2,2015,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2016,2016,2016,2016,CNIHS,national,consumption,0,0,0,1,2,2016,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2017,2017,2017,2017,CNIHS,national,consumption,0,0,0,1,2,2017,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2018,2018,2018,2018,CNIHS,national,consumption,0,0,0,1,2,2018,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,CHN,EAP,China,2019,2019,2019,2019,CNIHS,national,consumption,0,0,0,1,2,2019,Integrated Urban and Rural Households Survey,National Bureau of Statistics
EAP,FJI,EAP,Fiji,2002,2002,2002,2002.5,HIES,national,consumption,0,1,0,0,0,2002-2003,Household Income and Expenditure Survey 2002-2003,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji
EAP,FJI,EAP,Fiji,2008,2008,2008,2008.5,HIES,national,consumption,0,1,0,0,0,2008-2009,Household Income and Expenditure Survey 2008-2009,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji
EAP,FJI,EAP,Fiji,2013,2013,2013,2013.24,HIES,national,consumption,0,1,0,0,0,2013-2014,Household Income and Expenditure Survey 2013-2014,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji
EAP,FJI,EAP,Fiji,2019,2019,2019,2019.15,HIES,national,consumption,0,1,0,0,1,2019-2020,Household Income and Expenditure Survey 2019-2020,Fiji Islands Bureau of Statistics (FIBoS) - Government of Fiji
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2000,2000,2000,2000,CPH,urban,income,0,1,0,0,0,2000,Census of Population and Housing 2000,"Department of Economic Affairs, Statistics Division"
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2005,2005,2005,2005,HIES,national,consumption,0,1,0,0,1,2005,Household Income and Expenditure Survey 2005,"Divison of Statistics - Office of Statistics, Budget and Economic Management, Overseas Development Assistance and Compact Management (SBOC) - Government of the Federated States of Micronesia"
EAP,FSM,EAP,"Micronesia, Fed. Sts.",2013,2013,2013,2013,HIES,national,consumption,0,1,0,0,2,2013,Household Income and Expenditure Survey 2013,"Divison of Statistics - Office of Statistics, Budget and Economic Management, Overseas Development Assistance and Compact Management (SBOC) - Government of the Federated States of Micronesia"
EAP,IDN,EAP,Indonesia,1984,1984,1984,1984,SUSENAS,national,consumption,0,0,0,1,0,1984,National Socio-Economic Survey 1984,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1987,1987,1987,1987,SUSENAS,national,consumption,0,0,0,1,0,1987,National Socio-Economic Survey 1987,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1990,1990,1990,1990,SUSENAS,national,consumption,0,0,0,1,0,1990,National Socio-Economic Survey 1990,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1993,1993,1993,1993,SUSENAS,national,consumption,0,1,0,0,1,1993,National Socio-Economic Survey 1993,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1996,1996,1996,1996,SUSENAS,national,consumption,0,1,0,0,1,1996,National Socio-Economic Survey 1996,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1998,1998,1998,1998,SUSENAS,national,consumption,0,1,0,0,1,1998,National Socio-Economic Survey 1998,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,1999,1999,1999,1999,SUSENAS,national,consumption,0,1,0,0,1,1999,National Socio-Economic Survey 1999,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2000,2000,2000,2000,SUSENAS,national,consumption,0,1,0,0,2,2000,National Socio-Economic Survey 2000,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2001,2001,2001,2001,SUSENAS,national,consumption,0,1,0,0,2,2001,National Socio-Economic Survey 2001,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2002,2002,2002,2002,SUSENAS,national,consumption,0,1,0,0,2,2002,National Socio-Economic Survey 2002,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2003,2003,2003,2003,SUSENAS,national,consumption,0,1,0,0,2,2003,National Socio-Economic Survey 2003,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2004,2004,2004,2004,SUSENAS,national,consumption,0,1,0,0,2,2004,National Socio-Economic Survey 2004,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2005,2005,2005,2005,SUSENAS,national,consumption,0,1,0,0,3,2005,National Socio-Economic Survey 2005,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2006,2006,2006,2006,SUSENAS,national,consumption,0,1,0,0,3,2006,National Socio-Economic Survey 2006,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2007,2007,2007,2007,SUSENAS,national,consumption,0,1,0,0,3,2007,National Socio-Economic Survey 2007,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2008,2008,2008,2008,SUSENAS,national,consumption,0,1,0,0,3,2008,National Socio-Economic Survey 2008,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2009,2009,2009,2009,SUSENAS,national,consumption,0,1,0,0,3,2009,National Socio-Economic Survey 2009,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2010,2010,2010,2010,SUSENAS,national,consumption,0,1,0,0,3,2010,National Socio-Economic Survey 2010,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2011,2011,2011,2011,SUSENAS,national,consumption,0,1,0,0,4,2011,National Socio-Economic Survey 2011,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2012,2012,2012,2012,SUSENAS,national,consumption,0,1,0,0,4,2012,National Socio-Economic Survey 2012,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2013,2013,2013,2013,SUSENAS,national,consumption,0,1,0,0,4,2013,National Socio-Economic Survey 2013,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2014,2014,2014,2014,SUSENAS,national,consumption,0,1,0,0,4,2014,National Socio-Economic Survey 2014,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2015,2015,2015,2015,SUSENAS,national,consumption,0,1,0,0,5,2015,National Socio-Economic Survey 2015,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2016,2016,2016,2016,SUSENAS,national,consumption,0,1,0,0,5,2016,National Socio-Economic Survey 2016,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2017,2017,2017,2017,SUSENAS,national,consumption,0,1,0,0,5,2017,National Socio-Economic Survey 2017,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2018,2018,2018,2018,SUSENAS,national,consumption,0,1,0,0,5,2018,National Socio-Economic Survey 2018,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2019,2019,2019,2019,SUSENAS,national,consumption,0,1,0,0,5,2019,National Socio-Economic Survey 2019,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2020,2020,2020,2020,SUSENAS,national,consumption,0,1,0,0,5,2020,National Socio-Economic Survey 2020,Central Bureau of Statistics (BPS) of Indonesia
EAP,IDN,EAP,Indonesia,2021,2021,2021,2021,SUSENAS,national,consumption,0,1,0,0,5,2021,National Socio-Economic Survey 2021,Central Bureau of Statistics (BPS) of Indonesia
EAP,JPN,OHI,Japan,2008,2008,2008,2008,JHPS-LIS,national,income,0,0,1,0,0,2008,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies
EAP,JPN,OHI,Japan,2010,2010,2010,2010,JHPS-LIS,national,income,0,0,1,0,0,2010,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies
EAP,JPN,OHI,Japan,2013,2013,2013,2013,JHPS-LIS,national,income,0,0,1,0,0,2013,Japan Household Panel Survey Data (JHPS),Keio University Joint Research Center for Panel Studies
EAP,KOR,OHI,"Korea, Rep.",2006,2006,2006,2006,HIES-FHES-LIS,national,income,0,0,1,0,0,2006,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KOR,OHI,"Korea, Rep.",2008,2008,2008,2008,HIES-FHES-LIS,national,income,0,0,1,0,0,2008,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KOR,OHI,"Korea, Rep.",2010,2010,2010,2010,HIES-FHES-LIS,national,income,0,0,1,0,0,2010,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KOR,OHI,"Korea, Rep.",2012,2012,2012,2012,HIES-FHES-LIS,national,income,0,0,1,0,0,2012,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KOR,OHI,"Korea, Rep.",2014,2014,2014,2014,HIES-FHES-LIS,national,income,0,0,1,0,0,2014,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KOR,OHI,"Korea, Rep.",2016,2016,2016,2016,HIES-FHES-LIS,national,income,0,0,1,0,0,2016,Household Income and Expenditure Survey (HIES) and Farm Household Income and Expenditure Survey (FHES),Statistics Korea
EAP,KIR,EAP,Kiribati,2006,2006,2006,2006,HIES,national,consumption,0,1,0,0,0,2006,Household Income and Expenditure Survey 2006,National Statistical Office
EAP,KIR,EAP,Kiribati,2019,2019,2019,2019.27,HIES,national,consumption,0,1,0,0,1,2019-2020,Household Income and Expenditure Survey 2019-2020,National Statistical Office
EAP,LAO,EAP,Lao PDR,1992,1992,1992,1992.2,LECS,national,consumption,0,1,0,0,0,1992-1993,Expenditure and Consumption Survey,Lao Statistics Bureau
EAP,LAO,EAP,Lao PDR,1997,1997,1997,1997.2,LECS,national,consumption,0,1,0,0,0,1997-1998,Expenditure and Consumption Survey,Lao Statistics Bureau
EAP,LAO,EAP,Lao PDR,2002,2002,2002,2002.25,LECS,national,consumption,0,1,0,0,0,2002-2003,Expenditure and Consumption Survey 2002-2003,Lao Statistics Bureau
EAP,LAO,EAP,Lao PDR,2007,2007,2007,2007.23,LECS,national,consumption,0,1,0,0,0,2007-2008,Expenditure and Consumption Survey 2007-2008,Lao Statistics Bureau
EAP,LAO,EAP,Lao PDR,2012,2012,2012,2012.25,LECS,national,consumption,0,1,0,0,1,2012-2013,Expenditure and Consumption Survey 2012-2013,Lao Statistics Bureau
EAP,LAO,EAP,Lao PDR,2018,2018,2018,2018.42,LECS,national,consumption,0,1,0,0,1,2018-2019,Expenditure and Consumption Survey 2018-2019,Lao Statistics Bureau
EAP,MMR,EAP,Myanmar,2015,2015,2015,2015,MPLCS,national,consumption,0,1,0,0,0,2015,Myanmar Poverty and Living Conditions Survey 2015,"National Statistics Office, Myanmar"
EAP,MMR,EAP,Myanmar,2017,2017,2017,2017,MLCS,national,consumption,0,1,0,0,0,2017,Myanmar Living Conditions Survey 2017,"National Statistics Office, Myanmar"
EAP,MNG,EAP,Mongolia,1995,1995,1995,1995,LSMS,national,consumption,0,0,0,1,0,1995,Living Standards Measurement Study,National Statistical Office
EAP,MNG,EAP,Mongolia,1998,1998,1998,1998,LSMS,national,consumption,0,0,0,1,0,1998,Living Standards Measurement Study,National Statistical Office
EAP,MNG,EAP,Mongolia,2002,2002,2002,2002.15,HIES-LSMS,national,consumption,0,1,0,0,1,2002-2003,Integrated Household Income and Expenditure Survey with Living Standards Measurement Survey 2002-2003,National Statistical Office
EAP,MNG,EAP,Mongolia,2007,2007,2007,2007.5,HSES,national,consumption,0,1,0,0,2,2007-2008,Household Socio-Economic Survey 2007-2008,National Statistical Office
EAP,MNG,EAP,Mongolia,2010,2010,2010,2010,HSES,national,consumption,0,1,0,0,3,2010,Household Socio Economic Survey 2010,National Statistical Office
EAP,MNG,EAP,Mongolia,2011,2011,2011,2011,HSES,national,consumption,0,1,0,0,3,2011,Household Socio Economic Survey 2011,National Statistical Office
EAP,MNG,EAP,Mongolia,2012,2012,2012,2012,HSES,national,consumption,0,1,0,0,3,2012,Household Socio Economic Survey 2012,National Statistical Office
EAP,MNG,EAP,Mongolia,2014,2014,2014,2014,HSES,national,consumption,0,1,0,0,3,2014,Household Socio Economic Survey 2014,National Statistical Office
EAP,MNG,EAP,Mongolia,2016,2016,2016,2016,HSES,national,consumption,0,1,0,0,3,2016,Household Socio Economic Survey 2016,National Statistical Office
EAP,MNG,EAP,Mongolia,2018,2018,2018,2018,HSES,national,consumption,0,1,0,0,3,2018,Household Socio Economic Survey 2018,National Statistical Office
EAP,MYS,EAP,Malaysia,1984,1984,1984,1984,HIS,national,income,0,0,0,1,0,1984,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,1987,1987,1987,1987,HIS,national,income,0,0,0,1,0,1987,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,1989,1989,1989,1989,HIS,national,income,0,0,0,1,0,1989,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,1992,1992,1992,1992,HIS,national,income,0,0,0,1,0,1992,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,1995,1995,1995,1995,HIS,national,income,0,0,0,1,0,1995,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,1997,1997,1997,1997,HIS,national,income,0,0,0,1,0,1997,Household Income/Basic Amenities Survey,Economic Planning Unit
EAP,MYS,EAP,Malaysia,2004,2004,2003,2003,HIS,national,income,0,1,0,0,1,2004,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MYS,EAP,Malaysia,2007,2007,2006,2006,HIS,national,income,0,1,0,0,1,2007,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MYS,EAP,Malaysia,2009,2009,2008,2008.25,HIS,national,income,0,1,0,0,1,2009-2010,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MYS,EAP,Malaysia,2012,2012,2011,2011,HIS,national,income,0,1,0,0,1,2012,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MYS,EAP,Malaysia,2014,2014,2013,2013,HIS,national,income,0,1,0,0,1,2014,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MYS,EAP,Malaysia,2016,2016,2015,2015.88,HIS,national,income,0,1,0,0,1,2016-2017,Household Income/Basic Amenities Survey,Department of Statistics
EAP,MHL,EAP,Marshall Islands,2019,2019,2019,2019.5,HIES,national,consumption,0,1,0,0,0,2019-2020,Household Income and Expenditure Survey 2019/2020,National Statistical Office
EAP,NRU,EAP,Nauru,2012,2012,2012,2012.6899,HIES,national,consumption,0,1,0,0,0,2012-2013,Household Income and Expenditure Survey 2012/2013,"Bureau of Statistics, Department of Finance"
EAP,PHL,EAP,Philippines,1985,1985,1985,1985,FIES,national,consumption,0,0,0,1,0,1985,Family Income and Expenditure Survey 1985,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,1988,1988,1988,1988,FIES,national,consumption,0,1,0,0,0,1988,Family Income and Expenditure Survey 1988,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,1991,1991,1991,1991,FIES,national,consumption,0,0,0,1,0,1991,Family Income and Expenditure Survey 1991,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,1994,1994,1994,1994,FIES,national,consumption,0,0,0,1,0,1994,Family Income and Expenditure Survey 1994,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,1997,1997,1997,1997,FIES,national,consumption,0,1,0,0,1,1997,Family Income and Expenditure Survey 1997,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2000,2000,2000,2000,FIES,national,income,0,1,0,0,2,2000,Family Income and Expenditure Survey 2000,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2003,2003,2003,2003,FIES,national,income,0,1,0,0,3,2003,Family Income and Expenditure Survey 2003,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2006,2006,2006,2006,FIES,national,income,0,1,0,0,3,2006,Family Income and Expenditure Survey 2006,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2009,2009,2009,2009,FIES,national,income,0,1,0,0,3,2009,Family Income and Expenditure Survey 2009,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2012,2012,2012,2012,FIES,national,income,0,1,0,0,3,2012,Family Income and Expenditure Survey 2012,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2015,2015,2015,2015,FIES,national,income,0,1,0,0,3,2015,Family Income and Expenditure Survey 2015,Philippine Statistics Authority
EAP,PHL,EAP,Philippines,2018,2018,2018,2018,FIES,national,income,0,1,0,0,3,2018,Family Income and Expenditure Survey 2018,Philippine Statistics Authority
EAP,PNG,EAP,Papua New Guinea,1996,1996,1996,1996,HIES,national,consumption,0,1,0,0,0,1996,Household Income and Expenditure Survey 1996,Unisearch PNG and PNG Institute of National Affairs
EAP,PNG,EAP,Papua New Guinea,2009,2009,2009,2009.67,HIES,national,consumption,0,1,0,0,1,2009-2010,Household Income and Expenditure Survey 2009-2010,National Statistical Office
EAP,SLB,EAP,Solomon Islands,2005,2005,2005,2005.5,HIES,national,consumption,0,1,0,0,0,2005-2006,Household Income and Expenditure Survey 2005-2006,Solomon Islands Statistics Office (SISO) - Ministry of Finance - Government of Solomon Islands
EAP,SLB,EAP,Solomon Islands,2012,2012,2012,2012.79,HIES,national,consumption,0,1,0,0,1,2012-2013,Household Income and Expenditure Survey 2012-2013,Solomon Islands Statistics Office (SISO) - Ministry of Finance - Government of Solomon Islands
EAP,THA,EAP,Thailand,1981,1981,1981,1981,SES,national,consumption,0,0,0,1,0,1981,Household Socio-Economic Survey 1981,National Statistics Office
EAP,THA,EAP,Thailand,1988,1988,1988,1988,SES,national,consumption,0,0,0,1,0,1988,Household Socio-Economic Survey 1988,National Statistics Office
EAP,THA,EAP,Thailand,1990,1990,1990,1990,SES,national,consumption,0,1,0,0,1,1990,Household Socio-Economic Survey 1990,National Statistics Office
EAP,THA,EAP,Thailand,1992,1992,1992,1992,SES,national,consumption,0,1,0,0,1,1992,Household Socio-Economic Survey 1992,National Statistics Office
EAP,THA,EAP,Thailand,1994,1994,1994,1994,SES,national,consumption,0,1,0,0,1,1994,Household Socio-Economic Survey 1994,National Statistics Office
EAP,THA,EAP,Thailand,1996,1996,1996,1996,SES,national,consumption,0,1,0,0,1,1996,Household Socio-Economic Survey 1996,National Statistics Office
EAP,THA,EAP,Thailand,1998,1998,1998,1998,SES,national,consumption,0,1,0,0,1,1998,Household Socio-Economic Survey 1998,National Statistics Office
EAP,THA,EAP,Thailand,1999,1999,1999,1999,SES,national,consumption,0,1,0,0,1,1999,Household Socio-Economic Survey 1999,National Statistics Office
EAP,THA,EAP,Thailand,2000,2000,2000,2000,SES,national,consumption,0,1,0,0,2,2000,Household Socio-Economic Survey 2000,National Statistical Office
EAP,THA,EAP,Thailand,2002,2002,2002,2002,SES,national,consumption,0,1,0,0,2,2002,Household Socio-Economic Survey 2002,National Statistical Office
EAP,THA,EAP,Thailand,2004,2004,2004,2004,SES,national,consumption,0,1,0,0,2,2004,Household Socio-Economic Survey 2004,National Statistical Office
EAP,THA,EAP,Thailand,2006,2006,2006,2006,SES,national,consumption,0,1,0,0,2,2006,Household Socio-Economic Survey 2006,National Statistical Office
EAP,THA,EAP,Thailand,2007,2007,2007,2007,SES,national,consumption,0,1,0,0,2,2007,Household Socio-Economic Survey 2007,National Statistical Office
EAP,THA,EAP,Thailand,2008,2008,2008,2008,SES,national,consumption,0,1,0,0,2,2008,Household Socio-Economic Survey 2008,National Statistical Office
EAP,THA,EAP,Thailand,2009,2009,2009,2009,SES,national,consumption,0,1,0,0,2,2009,Household Socio-Economic Survey 2009,National Statistical Office
EAP,THA,EAP,Thailand,2010,2010,2010,2010,SES,national,consumption,0,1,0,0,2,2010,Household Socio-Economic Survey and Village/Community Fund Survey 2010,"National Statistical Office, Social Statistics Bureau"
EAP,THA,EAP,Thailand,2011,2011,2011,2011,SES,national,consumption,0,1,0,0,2,2011,Household Socio-Economic Survey 2011,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2012,2012,2012,2012,SES,national,consumption,0,1,0,0,2,2012,Household Socio-Economic Survey 2012,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2013,2013,2013,2013,SES,national,consumption,0,1,0,0,2,2013,Household Socio-Economic Survey 2013,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2014,2014,2014,2014,SES,national,consumption,0,1,0,0,3,2014,Household Socio-Economic Survey 2014,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2015,2015,2015,2015,SES,national,consumption,0,1,0,0,3,2015,Household Socio-Economic Survey 2015,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2016,2016,2016,2016,SES,national,consumption,0,1,0,0,3,2016,Household Socio-Economic Survey 2016,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2017,2017,2017,2017,SES,national,consumption,0,1,0,0,3,2017,Household Socio-Economic Survey 2017,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2018,2018,2018,2018,SES,national,consumption,0,1,0,0,3,2018,Household Socio-Economic Survey 2018,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2019,2019,2019,2019,SES,national,consumption,0,1,0,0,3,2019,Household Socio-Economic Survey 2019,National Statistical Office of Thailand (NSO)
EAP,THA,EAP,Thailand,2020,2020,2020,2020,SES,national,consumption,0,1,0,0,3,2020,Household Socio-Economic Survey 2020,National Statistical Office of Thailand (NSO)
EAP,TLS,EAP,Timor-Leste,2001,2001,2001,2001,TLSS,national,consumption,0,1,0,0,0,2001,Living Standards Survey 2001,National Statistics Directorate
EAP,TLS,EAP,Timor-Leste,2007,2007,2007,2007,TLSLS,national,consumption,0,1,0,0,0,2007,Survey of Living Standards 2007 and Extension 2008,National Statistics Directorate
EAP,TLS,EAP,Timor-Leste,2014,2014,2014,2014,TLSLS,national,consumption,0,1,0,0,0,2014,Timor-Leste Living Standards Survey 2014,National Statistics Directorate
EAP,TON,EAP,Tonga,2000,2000,2000,2000.75,HIES,national,consumption,0,1,0,0,0,2000-2001,Household Income and Expenditure Survey 2000-2001,Statistics Department - Government of The Kingdom of Tonga
